cik_str,ticker,title
1750,AIR,AAR CORP
1800,ABT,ABBOTT LABORATORIES
1961,WDDD,WORLDS INC
2034,ACET,ACETO CORP
2098,ACU,ACME UNITED CORP
2178,AE,"ADAMS RESOURCES & ENERGY, INC."
2186,BKTI,BK Technologies Corp
2488,AMD,ADVANCED MICRO DEVICES INC
2809,AEM,AGNICO EAGLE MINES LTD
2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/
3116,AKRX,AKORN INC
3116,AKRXQ,AKORN INC
3153,ALP-PQ,ALABAMA POWER CO
3153,ALPVN,ALABAMA POWER CO
3153,APRCP,ALABAMA POWER CO
3153,APRDM,ALABAMA POWER CO
3153,APRDN,ALABAMA POWER CO
3153,APRDO,ALABAMA POWER CO
3153,APRDP,ALABAMA POWER CO
3197,CECE,CECO ENVIRONMENTAL CORP
3453,MATX,"Matson, Inc."
3499,ALX,ALEXANDERS INC
3545,ALCO,"ALICO, INC."
3570,LNG,"Cheniere Energy, Inc."
4127,SWKS,"SKYWORKS SOLUTIONS, INC."
4281,HWM,Howmet Aerospace Inc.
4447,HES,HESS CORP
4457,UHAL,AMERCO /NV/
4904,AEP,AMERICAN ELECTRIC POWER CO INC
4904,AEP-PB,AMERICAN ELECTRIC POWER CO INC
4962,AXP,AMERICAN EXPRESS CO
4977,AFL,AFLAC INC
5272,AIG,AMERICAN INTERNATIONAL GROUP INC
5272,AIG-PA,AMERICAN INTERNATIONAL GROUP INC
5272,AIG-WT,AMERICAN INTERNATIONAL GROUP INC
5513,UNM,Unum Group
5513,UNMA,Unum Group
5656,AIVN,AMERICAN INTERNATIONAL VENTURES INC /DE/
5981,AVD,AMERICAN VANGUARD CORP
6176,AP,AMPCO PITTSBURGH CORP
6201,AAL,American Airlines Group Inc.
6207,AXR,AMREP CORP.
6281,ADI,ANALOG DEVICES INC
6284,ALOG,ANALOGIC CORP
6494,ANDR,ANDREA ELECTRONICS CORP
6769,APA,APACHE CORP
6845,APOG,"APOGEE ENTERPRISES, INC."
6885,SSINQ,STAGE STORES INC
6885,SSI,STAGE STORES INC
6951,AMAT,APPLIED MATERIALS INC /DE
6955,EPAC,ENERPAC TOOL GROUP CORP
7039,TREC,TRECORA RESOURCES
7084,ADM,Archer-Daniels-Midland Co
7323,EAB,"ENTERGY ARKANSAS, LLC"
7323,EAE,"ENTERGY ARKANSAS, LLC"
7323,EAI,"ENTERGY ARKANSAS, LLC"
7332,SWN,SOUTHWESTERN ENERGY CO
7431,AWI,ARMSTRONG WORLD INDUSTRIES INC
7536,ARW,ARROW ELECTRONICS INC
7623,ARTW,ARTS WAY MANUFACTURING CO INC
7789,ASB,ASSOCIATED BANC-CORP
7789,ASB-PC,ASSOCIATED BANC-CORP
7789,ASB-PD,ASSOCIATED BANC-CORP
7789,ASB-PE,ASSOCIATED BANC-CORP
7789,ASB-PF,ASSOCIATED BANC-CORP
8063,ATRO,ASTRONICS CORP
8146,ALOT,"AstroNova, Inc."
8177,AAME,ATLANTIC AMERICAN CORP
8328,AMNL,"Applied Minerals, Inc."
8411,ATW,ATWOOD OCEANICS INC
8504,UAVS,AgEagle Aerial Systems Inc.
8670,ADP,AUTOMATIC DATA PROCESSING INC
8818,AVY,Avery Dennison Corp
8858,AVT,AVNET INC
8868,AVP,AVON PRODUCTS INC
8947,AZZ,AZZ INC
9092,BMI,BADGER METER INC
9326,BCPC,BALCHEM CORP
9346,PTVCA,Protective Insurance Corp
9389,BLL,BALL Corp
9631,BNS,BANK OF NOVA SCOTIA
9892,BCR,BARD C R INC /NJ/
9984,B,BARNES GROUP INC
10048,BRN,BARNWELL INDUSTRIES INC
10254,ESTE,EARTHSTONE ENERGY INC
10329,BSET,BASSETT FURNITURE INDUSTRIES INC
10456,BAX,BAXTER INTERNATIONAL INC
10795,BDX,BECTON DICKINSON & CO
10795,BDXA,BECTON DICKINSON & CO
10795,BDXB,BECTON DICKINSON & CO
11199,BMS,BEMIS CO INC
11544,WRB-PC,BERKLEY W R CORP
11544,WRB-PD,BERKLEY W R CORP
11544,WRB-PE,BERKLEY W R CORP
11544,WRB-PF,BERKLEY W R CORP
11544,WRB,BERKLEY W R CORP
11544,WRB-PB,BERKLEY W R CORP
12040,BDL,FLANIGANS ENTERPRISES INC
12208,BIO,"BIO-RAD LABORATORIES, INC."
12239,AIKI,Aikido Pharma Inc.
12659,HRB,H&R BLOCK INC
12927,BA,BOEING CO
13156,GLXZ,"Galaxy Gaming, Inc."
13573,BWL-A,BOWL AMERICA INC
14177,BRID,BRIDGFORD FOODS CORP
14195,BGG,BRIGGS & STRATTON CORP
14272,BMY,BRISTOL MYERS SQUIBB CO
14272,BMY-RI,BRISTOL MYERS SQUIBB CO
14272,CELG-RI,BRISTOL MYERS SQUIBB CO
14693,BFA,BROWN FORMAN CORP
14693,BFB,BROWN FORMAN CORP
14707,CAL,CALERES INC
14846,BRT,BRT Apartments Corp.
14930,BC,BRUNSWICK CORP
14930,BC-PA,BRUNSWICK CORP
14930,BC-PB,BRUNSWICK CORP
14930,BC-PC,BRUNSWICK CORP
15615,MTZ,MASTEC INC
15847,BUKS,BUTLER NATIONAL CORP
16040,CBT,CABOT CORP
16058,CACI,CACI INTERNATIONAL INC /DE/
16099,LUB,LUBYS INC
16160,CALM,CAL-MAINE FOODS INC
16732,CPB,CAMPBELL SOUP CO
16859,SRL,Scully Royalty Ltd.
16868,CNI,CANADIAN NATIONAL RAILWAY CO
16875,CP,CANADIAN PACIFIC RAILWAY LTD/CN
16918,STZ,"CONSTELLATION BRANDS, INC."
16918,STZB,"CONSTELLATION BRANDS, INC."
16988,CAJ,CANON INC
17313,CSWC,CAPITAL SOUTHWEST CORP
17313,CSWCL,CAPITAL SOUTHWEST CORP
17843,CRS,CARPENTER TECHNOLOGY CORP
18172,CTAM,A. M. Castle & Co.
18230,CAT,CATERPILLAR INC
18255,CATO,CATO CORP
18349,SNV,SYNOVUS FINANCIAL CORP
18349,SNV-PD,SYNOVUS FINANCIAL CORP
18498,GCO,GENESCO INC
18654,AILIH,Ameren Illinois Co
18654,AILIM,Ameren Illinois Co
18654,AILIN,Ameren Illinois Co
18654,AILIO,Ameren Illinois Co
18654,AILIP,Ameren Illinois Co
18654,AILNP,Ameren Illinois Co
18654,AILLI,Ameren Illinois Co
18654,AILLL,Ameren Illinois Co
18654,AILLM,Ameren Illinois Co
18654,AILLN,Ameren Illinois Co
18654,AILLO,Ameren Illinois Co
18654,AILLP,Ameren Illinois Co
18926,CTL,"CENTURYLINK, INC"
19411,MGLN,MAGELLAN HEALTH INC
19446,CMD,CANTEL MEDICAL CORP
19584,CHE,CHEMED CORP
19612,TCF,TCF FINANCIAL CORP
19617,AMJ,JPMORGAN CHASE & CO
19617,JPM,JPMORGAN CHASE & CO
19617,JPM-PC,JPMORGAN CHASE & CO
19617,PPLN,JPMORGAN CHASE & CO
19617,JPM-PD,JPMORGAN CHASE & CO
19617,JPM-PG,JPMORGAN CHASE & CO
19617,JPM-PH,JPMORGAN CHASE & CO
19617,JPM-PJ,JPMORGAN CHASE & CO
19745,CPK,CHESAPEAKE UTILITIES CORP
19871,CVR,CHICAGO RIVET & MACHINE CO
20212,CHDN,CHURCHILL DOWNS Inc
20286,CINF,CINCINNATI FINANCIAL CORP
20520,FTR,FRONTIER COMMUNICATIONS CORP
20520,FTRQ,FRONTIER COMMUNICATIONS CORP
20629,CSS,CSS INDUSTRIES INC
20639,ABCP,AMBASE CORP
21076,CLX,CLOROX CO /DE/
21175,CNA,CNA FINANCIAL CORP
21344,KO,COCA COLA CO
21510,COHR,COHERENT INC
21535,COHU,COHU INC
21665,CL,COLGATE PALMOLIVE CO
22252,CMRO,COMARCO INC
22356,CBSH,COMMERCE BANCSHARES INC /MO/
22444,CMC,COMMERCIAL METALS Co
22701,JCS,COMMUNICATIONS SYSTEMS INC
22872,CHCR,"Advanzeon Solutions, Inc."
23111,CTG,COMPUTER TASK GROUP INC
23194,CRK,COMSTOCK RESOURCES INC
23197,CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/
23217,CAG,CONAGRA BRANDS INC.
23426,CNLHN,CONNECTICUT LIGHT & POWER CO
23795,CTO,"CTO Realty Growth, Inc."
24090,CIA,"CITIZENS, INC."
24104,CUO,CONTINENTAL MATERIALS CORP
24491,CTB,COOPER TIRE & RUBBER CO
24545,TAP-A,MOLSON COORS BEVERAGE CO
24545,TAP,MOLSON COORS BEVERAGE CO
24741,GLW,CORNING INC /NY
25232,CUZ,COUSINS PROPERTIES INC
25445,CR,CRANE CO /DE/
25475,CRD-A,CRAWFORD & CO
25475,CRD-B,CRAWFORD & CO
25743,TXMD,"TherapeuticsMD, Inc."
25895,CRWS,CROWN CRAFTS INC
26058,CTS,CTS CORP
26076,CUB,CUBIC CORP /DE/
26172,CMI,CUMMINS INC
26324,CW,CURTISS WRIGHT CORP
26780,DAN,DANA INC
27093,USAU,U.S. GOLD CORP.
27419,TGT,TARGET CORP
27904,DAL,"DELTA AIR LINES, INC."
27996,DLX,DELUXE CORP
28412,CMA,COMERICA INC /NEW/
28823,DBD,"DIEBOLD NIXDORF, Inc"
28917,DDS,"DILLARD'S, INC."
29002,DIOD,DIODES INC /DEL/
29332,DXYN,DIXIE GROUP INC
29534,DG,DOLLAR GENERAL CORP
29644,DCI,DONALDSON CO INC
29669,RRD,RR Donnelley & Sons Co
29905,DOV,DOVER Corp
29989,OMC,OMNICOM GROUP INC.
30305,DCO,DUCOMMUN INC /DE/
30554,CTA-PA,DUPONT E I DE NEMOURS & CO
30554,CTA-PB,DUPONT E I DE NEMOURS & CO
30625,FLS,FLOWSERVE CORP
30697,WEN,Wendy's Co
30831,DYSL,DYNASIL CORP OF AMERICA
31107,EML,EASTERN CO
31235,KODK,EASTMAN KODAK CO
31347,ELON,ECHELON CORP
31462,ECL,ECOLAB INC.
31667,EDUC,EDUCATIONAL DEVELOPMENT CORP
31791,PKI,PERKINELMER INC
31978,EE,EL PASO ELECTRIC CO /TX/
32567,MTWD,METWOOD INC
32604,EMR,EMERSON ELECTRIC CO
32621,MSN,EMERSON RADIO CORP
33002,EBF,"ENNIS, INC."
33185,EFX,EQUIFAX INC
33213,EQT,EQT Corp
33488,ESCA,ESCALADE INC
33533,ESP,ESPEY MFG & ELECTRONICS CORP
33992,KINS,"KINGSTONE COMPANIES, INC."
34067,BOOM,DMC Global Inc.
34088,XOM,EXXON MOBIL CORP
34115,CLE,CLAIRES STORES INC
34285,RLBY,RELIABILITY INC
34563,FARM,FARMER BROTHERS CO
34782,SRCE,1ST SOURCE CORP
34903,FRT,FEDERAL REALTY INVESTMENT TRUST
34903,FRT-PC,FEDERAL REALTY INVESTMENT TRUST
34956,TENX,"TENAX THERAPEUTICS, INC."
35214,FOE,FERRO CORP
35527,FITB,FIFTH THIRD BANCORP
35527,FITBI,FIFTH THIRD BANCORP
35527,FITBO,FIFTH THIRD BANCORP
35527,FITBP,FIFTH THIRD BANCORP
36029,FFIN,FIRST FINANCIAL BANKSHARES INC
36047,CLGX,"CORELOGIC, INC."
36104,USB-PO,US BANCORP \DE\
36104,USB-PP,US BANCORP \DE\
36104,USB,US BANCORP \DE\
36104,USB-PA,US BANCORP \DE\
36104,USB-PH,US BANCORP \DE\
36104,USB-PM,US BANCORP \DE\
36146,TRMK,TRUSTMARK CORP
36270,MTB,M&T BANK CORP
36369,FHRT,FIRST HARTFORD CORP
36377,FHB,"FIRST HAWAIIAN, INC."
36506,MFNC,MACKINAC FINANCIAL CORP /MI/
36840,FREVS,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY
36966,FHN-PD,FIRST HORIZON NATIONAL CORP
36966,FHN-PE,FIRST HORIZON NATIONAL CORP
36966,FHN,FIRST HORIZON NATIONAL CORP
36966,FHN-PA,FIRST HORIZON NATIONAL CORP
36966,FHN-PC,FIRST HORIZON NATIONAL CORP
37472,FLXS,FLEXSTEEL INDUSTRIES INC
37785,FMC,FMC CORP
37808,FNB,FNB CORP/PA/
37996,F,FORD MOTOR CO
37996,F-PB,FORD MOTOR CO
37996,F-PC,FORD MOTOR CO
38264,FORD,"Forward Industries, Inc."
38725,FELE,FRANKLIN ELECTRIC CO INC
38777,BEN,FRANKLIN RESOURCES INC
39020,FEIM,FREQUENCY ELECTRONICS INC
39092,FRD,FRIEDMAN INDUSTRIES INC
39263,CFR,"CULLEN/FROST BANKERS, INC."
39311,IBCP,INDEPENDENT BANK CORP /MI/
39368,FUL,FULLER H B CO
39677,AVHI,"AV Homes, Inc."
39899,TGNA,TEGNA INC
39911,GPS,GAP INC
40211,GATX,GATX CORP
40211,GMTA,GATX CORP
40533,GD,GENERAL DYNAMICS CORP
40545,GE,GENERAL ELECTRIC CO
40570,JOB,GEE Group Inc.
40704,GIS,GENERAL MILLS INC
40729,ALLY,Ally Financial Inc.
40729,ALLY-PA,Ally Financial Inc.
40730,MTLQU,Motors Liquidation Co
40888,AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC."
40987,GPC,GENUINE PARTS CO
41091,GPJA,GEORGIA POWER CO
41719,GLT,GLATFELTER P H CO
42316,GV,GOLDFIELD CORP
42582,GT,GOODYEAR TIRE & RUBBER CO /OH/
42682,GRC,GORMAN RUPP CO
42888,GGG,GRACO INC
43196,GTN,GRAY TELEVISION INC
43196,GTN-A,GRAY TELEVISION INC
43920,GEF,"GREIF, INC"
43920,GEF-B,"GREIF, INC"
45012,HAL,HALLIBURTON CO
45876,HSC,HARSCO CORP
45919,HHS,HARTE HANKS INC
46080,HAS,"HASBRO, INC."
46129,AMOT,ALLIED MOTION TECHNOLOGIES INC
46195,BOH,BANK OF HAWAII CORP
46207,HAWLM,HAWAIIAN ELECTRIC CO INC
46207,HAWLN,HAWAIIAN ELECTRIC CO INC
46207,HAWEL,HAWAIIAN ELECTRIC CO INC
46207,HAWEM,HAWAIIAN ELECTRIC CO INC
46207,HAWEN,HAWAIIAN ELECTRIC CO INC
46207,HAWLI,HAWAIIAN ELECTRIC CO INC
46207,HAWLL,HAWAIIAN ELECTRIC CO INC
46250,HWKN,HAWKINS INC
46619,HEI,HEICO CORP
46619,HEI-A,HEICO CORP
46765,HP,"Helmerich & Payne, Inc."
47111,HSY,HERSHEY CO
47217,HPQ,HP INC
47307,CRAWA,CRAWFORD UNITED Corp
47518,HRC,"Hill-Rom Holdings, Inc."
48039,HFC,HollyFrontier Corp
48287,HNI,HNI CORP
48465,HRL,HORMEL FOODS CORP /DE/
48898,HUBB,HUBBELL INC
49071,HUM,HUMANA INC
49196,HBAN,HUNTINGTON BANCSHARES INC/MD
49196,HBANN,HUNTINGTON BANCSHARES INC/MD
49196,HBANO,HUNTINGTON BANCSHARES INC/MD
49279,HUSKF,HUSKY ENERGY INC
49600,EGP,EASTGROUP PROPERTIES INC
49728,IEC,IEC ELECTRONICS CORP
49754,DIN,"Dine Brands Global, Inc."
49826,ITW,ILLINOIS TOOL WORKS INC
49938,IMO,IMPERIAL OIL LTD
50104,TSO,ANDEAVOR LLC
50292,IEHC,IEH Corp
50471,PCYG,PARK CITY GROUP INC
50493,IMKTA,INGLES MARKETS INC
50725,GFF,GRIFFON CORP
50863,INTC,INTEL CORP
51011,ITDN,INTERDYNE CO
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC
51253,IFFT,INTERNATIONAL FLAVORS & FRAGRANCES INC
51434,IP,INTERNATIONAL PAPER CO /NEW/
51644,IPG,"INTERPUBLIC GROUP OF COMPANIES, INC."
52485,IPLDP,INTERSTATE POWER & LIGHT CO
52795,AXE,ANIXTER INTERNATIONAL INC
52827,RYN,RAYONIER INC
52988,J,JACOBS ENGINEERING GROUP INC /DE/
52988,JEC,JACOBS ENGINEERING GROUP INC /DE/
54187,MAYS,MAYS J W INC
54381,KAMN,KAMAN Corp
54480,KSU,KANSAS CITY SOUTHERN
54480,KSU-P,KANSAS CITY SOUTHERN
55067,K,KELLOGG CO
55135,KELYA,KELLY SERVICES INC
55135,KELYB,KELLY SERVICES INC
55242,KMT,KENNAMETAL INC
55362,IHRC,Investors Heritage Capital Corp
55529,KEQU,KEWAUNEE SCIENTIFIC CORP /DE/
55772,KBAL,KIMBALL INTERNATIONAL INC
55785,KMB,KIMBERLY CLARK CORP
56047,KEX,KIRBY CORP
56679,KFY,KORN FERRY
56701,KOSS,KOSS CORP
56868,PNRG,PRIMEENERGY RESOURCES CORP
56873,KR,KROGER CO
56978,KLIC,KULICKE & SOFFA INDUSTRIES INC
